,NO,NAME,CODE,REM,LAST_DONE,LACP,CHG,%CHG,VOL('00),BUY_VOL('00),BUY,SELL,SEL_VOL('00),HIGH,LOW
0,1,SAPNRG [S],5218,s,0.160,0.185,-0.025,-13.51,"2,673,640","280,123",0.160,0.165,"38,083",0.175,0.160
1,2,MYEG [S],0138,s,1.200,1.120,+0.080,+7.14,"1,275,778","18,431",1.200,1.210,"11,712",1.280,1.160
2,3,XOX [S],0165,0.035,0.045,-0.010,-22.22,"982,880","273,947",0.030,0.035,"23,607",0.045,0.030,0165
3,4,AVI [S],8885,s,0.160,0.145,+0.015,+10.34,"790,515","706,979",0.155,0.160,"14,361",0.165,0.140
4,5,TIGER [S],7079,s,0.035,0.045,-0.010,-22.22,"741,992","295,538",0.035,0.040,"113,245",0.045,0.035
5,6,THRIVEN [S],7889,s,0.315,0.220,+0.095,+43.18,"696,073","11,784",0.315,0.320,699,0.480,0.280
6,7,DSONIC [S],5216,[c]  s,1.170,1.070,+0.100,+9.35,"667,996","5,706",1.170,1.180,"4,490",1.310,1.110
7,8,DSONIC-WA [S],5216WA,s,0.505,0.415,+0.090,+21.69,"634,547","4,188",0.505,0.510,"6,037",0.540,0.440
8,9,AIRASIA [S],5099,s,1.030,1.000,+0.030,+3.00,"517,955","13,244",1.030,1.050,"1,794",1.060,0.980
9,10,VELESTO [S],5243,s,0.265,0.300,-0.035,-11.67,"484,396","107,801",0.265,0.270,"2,519",0.285,0.250
10,11,THRIVEN-WB [S],7889WB,s,0.085,0.025,+0.060,+240.00,"446,441","6,726",0.085,0.090,"2,700",0.150,0.070
11,12,EKOVEST [S],8877,s,0.615,0.640,-0.025,-3.91,"431,396","1,320",0.615,0.620,150,0.650,0.575
12,13,EDUSPEC [S],0107,0.020,0.020,-,-,"398,427","396,118",0.015,0.020,"447,249",0.025,0.020,0107
13,14,JAKS [S],4723,s,1.290,1.240,+0.050,+4.03,"382,750","2,850",1.280,1.290,"1,484",1.290,1.190
14,15,JAG [S],0024,0.045,0.045,-,-,"378,780","100,662",0.040,0.045,"1,570",0.050,0.040,0024
15,16,IRIS [S],0010,0.130,0.130,-,-,"369,858","18,936",0.130,0.135,"44,716",0.135,0.115,0010
16,17,ALAM [S],5115,s,0.100,0.115,-0.015,-13.04,"343,046","79,258",0.100,0.105,"36,725",0.105,0.095
17,18,ICON [S],5255,s,0.100,0.105,-0.005,-4.76,"300,277","37,881",0.095,0.100,"71,359",0.110,0.095
18,19,AT [S],0072,0.035,0.035,-,-,"297,599","60,510",0.035,0.040,"71,809",0.040,0.030,0072
19,20,FPGROUP [S],5277,s,0.855,0.795,+0.060,+7.55,"289,679","2,062",0.855,0.860,"1,171",0.860,0.770
20,21,PWORTH [S],7123,s,0.020,0.020,-,-,"273,365","1,062,774",0.015,0.020,"33,856",0.025,0.015
21,22,DAYANG [S],5141,s,2.150,2.330,-0.180,-7.73,"222,594",20,2.130,2.150,582,2.300,2.080
22,23,MRCB [S],1651,[c]  s,0.585,0.570,+0.015,+2.63,"208,132","4,892",0.580,0.585,"2,324",0.600,0.580
23,24,JCY [S],5161,s,0.285,0.275,+0.010,+3.64,"197,429","1,080",0.280,0.285,"7,568",0.285,0.265
24,25,RGTECH [S],0202,0.355,0.325,+0.030,+9.23,"184,434","9,822",0.355,0.360,"6,920",0.355,0.315,0202
25,26,KRONO [S],0176,0.665,0.635,+0.030,+4.72,"175,720","1,368",0.665,0.670,"2,625",0.665,0.610,0176
26,27,PUC [S],0007,0.035,0.040,-0.005,-12.50,"169,959","178,162",0.030,0.035,"19,266",0.040,0.030,0007
27,28,NOTION [S],0083,s,1.050,0.990,+0.060,+6.06,"168,666",119,1.050,1.060,"4,139",1.050,0.945
28,29,GAMUDA [S],5398,s,3.190,3.310,-0.120,-3.63,"166,684","10,620",3.190,3.200,100,3.250,3.170
29,30,INARI [S],0166,[c]  s,1.410,1.410,-,-,"163,638",420,1.410,1.420,928,1.450,1.380
30,31,AAX [S],5238,s,0.095,0.105,-0.010,-9.52,"161,400","88,371",0.095,0.100,"23,225",0.105,0.095
31,32,TECHBND-WA [S],5289WA,s,0.235,-,+0.125,+113.64,"150,803","1,726",0.230,0.235,"1,012",0.295,0.155
32,33,KANGER [S],0170,0.120,0.115,+0.005,+4.35,"147,146","36,145",0.115,0.120,"76,676",0.120,0.105,0170
33,34,SAPNRG-WA [S],5218WA,s,0.075,0.075,-,-,"141,922","62,527",0.070,0.075,"35,168",0.075,0.070
34,35,MCLEAN [S],0167,0.370,0.360,+0.010,+2.78,"140,376","2,000",0.365,0.370,"20,200",0.375,0.330,0167
35,36,OMESTI [S],9008,s,0.640,0.615,+0.025,+4.07,"128,316",894,0.640,0.645,"1,150",0.640,0.575
36,37,OPENSYS [S],0040,[c],0.405,0.390,+0.015,+3.85,"125,201","2,020",0.400,0.405,31,0.410,0.370
37,38,ALAM-WA [S],5115WA,s,0.040,0.040,-,-,"125,123","136,872",0.035,0.040,"63,232",0.040,0.035
38,39,DGB [S],0152,0.050,0.050,-,-,"124,353","92,361",0.040,0.045,"1,999",0.050,0.040,0152
39,40,UWC [S],5292,s,2.740,2.570,+0.170,+6.61,"120,293",138,2.730,2.740,"2,503",2.770,2.430
40,41,VIVOCOM [S],0069,0.020,0.020,-,-,"119,432","245,219",0.020,0.025,"1,209,771",0.025,0.020,0069
41,42,SLVEST [S],0215,1.120,1.140,-0.020,-1.75,"117,234",775,1.120,1.130,480,1.180,1.080,0215
42,43,MEDIAC [S],5090,s,0.205,0.200,+0.005,+2.50,"111,175","1,630",0.200,0.205,329,0.215,0.195
43,44,YONGTAI [S],7066,s,0.090,0.095,-0.005,-5.26,"110,954",350,0.085,0.090,"15,180",0.090,0.080
44,45,APFT [S],5194,s,0.005,0.005,-,-,"109,868",-,-,0.005,"29,339",0.005,0.005
45,46,HUAAN [S],2739,s,0.075,0.085,-0.010,-11.76,"106,102","7,832",0.070,0.075,"11,272",0.075,0.060
